Date,Close,Open,High,Low
30-09-2009,130.849,129.981,131.044,129.06
01-10-2009,129.734,130.279,130.784,129.488
02-10-2009,130.201,129.462,130.81,127.958
05-10-2009,131.951,130.46,132.081,129.994
06-10-2009,134.79,133.261,135.478,133.144
07-10-2009,135.4,135.244,136.32,134.7
08-10-2009,136.943,136.787,137.772,135.283
09-10-2009,135.944,136.1,136.58,135.439
12-10-2009,137.098,136.878,137.487,136.45
13-10-2009,138.07,138.265,138.524,136.891
14-10-2009,138.032,137.319,138.226,136.968
15-10-2009,136.204,136.1,137.526,135.789
16-10-2009,136.32,135.879,137.15,135.309
19-10-2009,137.176,136.826,137.344,135.944
20-10-2009,137.241,138.265,138.42,136.463
21-10-2009,138.006,136.32,138.161,135.879
22-10-2009,137.241,137.15,137.669,136.385
23-10-2009,136.955,137.617,138.563,136.178
26-10-2009,135.1923,136.774,137.5259,134.972
27-10-2009,134.233,134.8553,135.309,133.9089
28-10-2009,133.5977,133.8181,134.8942,133.144
29-10-2009,135.7498,134.1941,135.9183,133.87
30-10-2009,134.8812,135.322,135.6461,134.233
02-11-2009,136.6444,136.6962,137.863,136.5666
03-11-2009,140.6503,137.6685,140.9226,136.8388
04-11-2009,140.9615,141.2856,142.1542,140.7929
05-11-2009,141.2208,141.4801,141.7782,140.9874
06-11-2009,142.0505,141.8301,142.8543,140.8578
09-11-2009,142.7919,143.8936,143.9895,142.6104
10-11-2009,142.9344,142.5146,143.857,142.455
11-11-2009,144.5019,144.7558,145.0927,143.577
12-11-2009,143.4658,144.2818,144.7843,143.0799
13-11-2009,144.7736,143.5176,144.9031,143.0385
16-11-2009,147.6999,146.3403,147.7517,145.8871
17-11-2009,147.7258,146.6899,147.8164,146.5734
18-11-2009,147.9588,148.7875,149.5126,147.7258
19-11-2009,148.0495,147.3762,148.2307,146.4957
20-11-2009,148.671,147.415,149.0335,147.3503
23-11-2009,151.0017,151.0664,152.2058,148.671
24-11-2009,151.157,151.5973,151.8174,150.678
25-11-2009,153.902,153.0604,153.9538,152.7626
26-11-2009,153.902,153.0604,153.9538,152.7626
27-11-2009,152.2058,150.7168,153.0734,148.9558
30-11-2009,153.0863,151.9728,153.2158,151.0793
01-12-2009,155.404,154.4459,155.8961,154.2646
02-12-2009,157.0614,156.7765,157.6311,156.2845
03-12-2009,157.7477,157.9678,158.2785,156.0514
04-12-2009,151.4289,156.2198,156.9319,151.2088
07-12-2009,150.7168,147.9329,151.0017,147.3373
08-12-2009,148.0495,149.4608,149.5515,147.8423
09-12-2009,145.1361,147.674,148.6969,144.7736
10-12-2009,145.8224,145.5893,146.7417,145.4469
